date,ticker,stock_name,comment,like,dislike
2024-05-02,035420.KS,NAVER,검색 점유율 걱정 때문에 쉽게 들어가기 어렵습니다 수급도 같이 봐야겠네요,6,11
2024-05-03,035420.KS,NAVER,웹툰 글로벌 확장 기대합니다 내일 장이 중요합니다,17,3
2024-05-06,035420.KS,NAVER,저평가 구간이라고 생각해서 분할 매수 중입니다,20,4
2024-05-07,035420.KS,NAVER,오늘 반등은 좋은데 거래량이 약해서 아쉽습니다,13,6
2024-05-08,035420.KS,NAVER,광고 매출이 회복되면 주가도 다시 탄력 받을 것 같습니다,17,4
2024-05-09,035420.KS,NAVER,플랫폼 경쟁이 심해서 성장성이 예전 같지 않아 보입니다 수급도 같이 봐야겠네요,9,11
2024-05-10,035420.KS,NAVER,클라우드와 AI 사업은 중장기 기대감이 있습니다,16,3
2024-05-13,035420.KS,NAVER,실적 발표 전까지는 변동성이 클 것 같네요,12,7
2024-05-14,035420.KS,NAVER,검색 점유율 걱정 때문에 쉽게 들어가기 어렵습니다 내일 장이 중요합니다,6,12
2024-05-15,035420.KS,NAVER,웹툰 글로벌 확장 기대합니다,17,1
2024-04-09,035720.KS,카카오,구조조정 이후 비용 효율화가 보이면 반등 가능성 있습니다 수급도 같이 봐야겠네요 내일 장이 중요합니다,14,5
2024-04-10,035720.KS,카카오,신뢰 회복이 먼저라서 단기 상승은 제한적일 것 같습니다,8,13
2024-04-11,035720.KS,카카오,톡비즈 실적이 생각보다 버텨주면 분위기 바뀔 수 있습니다,15,4
2024-04-12,035720.KS,카카오,계열사 이슈가 계속 나와서 투자 심리가 약하네요,9,15
2024-04-15,035720.KS,카카오,너무 많이 빠져서 기술적 반등은 기대해봅니다,12,6
2024-04-16,035720.KS,카카오,실적 개선 없이는 주가 회복이 쉽지 않아 보입니다 수급도 같이 봐야겠네요,9,11
2024-04-17,035720.KS,카카오,콘텐츠 사업 정리 방향이 명확해지면 좋겠습니다,13,6
2024-04-18,035720.KS,카카오,오늘 양봉은 의미 있어 보입니다 다음 저항선이 중요하네요 내일 장이 중요합니다,16,4
2024-04-19,035720.KS,카카오,구조조정 이후 비용 효율화가 보이면 반등 가능성 있습니다,14,3
2024-04-22,035720.KS,카카오,신뢰 회복이 먼저라서 단기 상승은 제한적일 것 같습니다,8,14
2024-04-23,035720.KS,카카오,톡비즈 실적이 생각보다 버텨주면 분위기 바뀔 수 있습니다 수급도 같이 봐야겠네요,15,5
2024-04-24,035720.KS,카카오,계열사 이슈가 계속 나와서 투자 심리가 약하네요,9,13
2024-04-25,035720.KS,카카오,너무 많이 빠져서 기술적 반등은 기대해봅니다,12,7
2024-04-26,035720.KS,카카오,실적 개선 없이는 주가 회복이 쉽지 않아 보입니다,9,12
2024-04-29,035720.KS,카카오,콘텐츠 사업 정리 방향이 명확해지면 좋겠습니다 내일 장이 중요합니다,13,4
2024-04-30,035720.KS,카카오,오늘 양봉은 의미 있어 보입니다 다음 저항선이 중요하네요 수급도 같이 봐야겠네요,16,5
2024-05-01,035720.KS,카카오,구조조정 이후 비용 효율화가 보이면 반등 가능성 있습니다,14,4
2024-05-02,035720.KS,카카오,신뢰 회복이 먼저라서 단기 상승은 제한적일 것 같습니다,8,12
2024-05-03,035720.KS,카카오,톡비즈 실적이 생각보다 버텨주면 분위기 바뀔 수 있습니다,15,6
2024-05-06,035720.KS,카카오,계열사 이슈가 계속 나와서 투자 심리가 약하네요,9,14
2024-05-07,035720.KS,카카오,너무 많이 빠져서 기술적 반등은 기대해봅니다 수급도 같이 봐야겠네요,12,5
2024-05-08,035720.KS,카카오,실적 개선 없이는 주가 회복이 쉽지 않아 보입니다 내일 장이 중요합니다,9,13
2024-05-09,035720.KS,카카오,콘텐츠 사업 정리 방향이 명확해지면 좋겠습니다,13,5
2024-05-10,035720.KS,카카오,오늘 양봉은 의미 있어 보입니다 다음 저항선이 중요하네요,16,3
2024-05-13,035720.KS,카카오,구조조정 이후 비용 효율화가 보이면 반등 가능성 있습니다,14,5
2024-05-14,035720.KS,카카오,신뢰 회복이 먼저라서 단기 상승은 제한적일 것 같습니다 수급도 같이 봐야겠네요,8,13
2024-05-15,035720.KS,카카오,톡비즈 실적이 생각보다 버텨주면 분위기 바뀔 수 있습니다,15,4
2024-05-16,035720.KS,카카오,계열사 이슈가 계속 나와서 투자 심리가 약하네요,9,15
2024-05-17,035720.KS,카카오,너무 많이 빠져서 기술적 반등은 기대해봅니다 내일 장이 중요합니다,12,6
2024-05-20,035720.KS,카카오,실적 개선 없이는 주가 회복이 쉽지 않아 보입니다,9,11
